date	id_county	county	id_state	state	size	population	density	demography_1	no_cases	cases_m	cases_w	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	no_infected	no_deceased
2020-03-10	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	25	16	0	1	0	7	12	4	1	25	0
2020-03-11	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	27	14	0	0	2	11	12	2	0	27	0
2020-03-12	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	40	26	0	0	4	7	28	1	0	40	0
2020-03-13	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	30	18	0	1	0	12	15	1	1	30	0
2020-03-14	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	73	36	0	2	4	28	32	6	0	73	0
2020-03-15	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	72	31	0	1	3	25	41	2	0	72	0
2020-03-16	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	66	34	0	0	7	21	29	8	0	66	0
2020-03-17	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	106	60	0	1	3	28	55	13	6	106	0
2020-03-18	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	80	53	0	0	0	27	42	11	0	80	0
2020-03-19	2000	SK Hamburg	2.0	Hamburg	755.3	1830584.0	2423.651529193698	0.18	30	16	0	0	1	8	13	7	1	30	0
2020-03-05	3101	SK Braunschweig	3.0	Niedersachsen	192.7	248023.0	1287.0939283860926	0.21	1	0	0	0	0	1	0	0	0	1	0
2020-03-11	3101	SK Braunschweig	3.0	Niedersachsen	192.7	248023.0	1287.0939283860926	0.21	1	1	0	0	0	0	1	0	0	1	0
2020-03-14	3101	SK Braunschweig	3.0	Niedersachsen	192.7	248023.0	1287.0939283860926	0.21	3	1	0	0	0	0	2	1	0	3	0
2020-03-15	3101	SK Braunschweig	3.0	Niedersachsen	192.7	248023.0	1287.0939283860926	0.21	2	1	0	0	0	0	1	1	0	2	0
2020-03-17	3101	SK Braunschweig	3.0	Niedersachsen	192.7	248023.0	1287.0939283860926	0.21	3	1	0	0	0	0	2	1	0	3	0
2020-03-18	3101	SK Braunschweig	3.0	Niedersachsen	192.7	248023.0	1287.0939283860926	0.21	2	1	0	0	0	0	2	0	0	2	0
2020-03-11	3102	SK Salzgitter	3.0	Niedersachsen	224.49	104548.0	465.7133948060047	0.23	1	0	0	0	0	0	1	0	0	1	0
2020-03-13	3102	SK Salzgitter	3.0	Niedersachsen	224.49	104548.0	465.7133948060047	0.23	1	0	0	0	0	0	1	0	0	1	0
2020-03-17	3102	SK Salzgitter	3.0	Niedersachsen	224.49	104548.0	465.7133948060047	0.23	1	0	0	0	0	0	1	0	0	1	0
2020-03-18	3102	SK Salzgitter	3.0	Niedersachsen	224.49	104548.0	465.7133948060047	0.23	3	1	0	0	0	0	0	3	0	3	0
2020-03-19	3102	SK Salzgitter	3.0	Niedersachsen	224.49	104548.0	465.7133948060047	0.23	2	0	0	0	0	0	2	0	0	2	0
2020-03-13	3103	SK Wolfsburg	3.0	Niedersachsen	204.61	123914.0	605.6106739651042	0.22	3	1	0	0	0	1	0	1	1	3	0
2020-03-17	3103	SK Wolfsburg	3.0	Niedersachsen	204.61	123914.0	605.6106739651042	0.22	1	1	0	0	0	0	1	0	0	1	0
2020-03-18	3103	SK Wolfsburg	3.0	Niedersachsen	204.61	123914.0	605.6106739651042	0.22	4	3	0	0	0	0	1	1	2	4	0
2020-03-19	3103	SK Wolfsburg	3.0	Niedersachsen	204.61	123914.0	605.6106739651042	0.22	1	0	0	0	0	0	1	0	0	1	0
2020-03-11	3151	LK Gifhorn	3.0	Niedersachsen	1567.58	175079.0	111.68744178925478	0.2	2	2	0	0	0	0	1	1	0	2	0
2020-03-12	3151	LK Gifhorn	3.0	Niedersachsen	1567.58	175079.0	111.68744178925478	0.2	3	2	0	0	0	0	1	2	0	3	0
2020-03-13	3151	LK Gifhorn	3.0	Niedersachsen	1567.58	175079.0	111.68744178925478	0.2	2	1	0	0	0	2	0	0	0	2	0
2020-03-16	3151	LK Gifhorn	3.0	Niedersachsen	1567.58	175079.0	111.68744178925478	0.2	9	4	0	0	0	3	4	1	0	9	0
2020-03-17	3151	LK Gifhorn	3.0	Niedersachsen	1567.58	175079.0	111.68744178925478	0.2	6	2	0	0	3	1	2	0	0	6	0
2020-03-18	3151	LK Gifhorn	3.0	Niedersachsen	1567.58	175079.0	111.68744178925478	0.2	1	1	0	0	0	0	0	1	0	1	0
2020-03-19	3151	LK Gifhorn	3.0	Niedersachsen	1567.58	175079.0	111.68744178925478	0.2	4	2	0	0	0	2	1	1	0	4	0
2020-03-13	3153	LK Goslar	3.0	Niedersachsen	966.74	137563.0	142.2957568736165	0.27	5	3	0	0	0	0	1	4	0	5	0
2020-03-14	3153	LK Goslar	3.0	Niedersachsen	966.74	137563.0	142.2957568736165	0.27	2	1	0	0	0	1	0	1	0	2	0
2020-03-17	3153	LK Goslar	3.0	Niedersachsen	966.74	137563.0	142.2957568736165	0.27	2	1	0	0	0	0	2	0	0	2	0
