	kreis_id	kreis	size	population	bundesland_id	bundesland	factor
312	9775	Neu-Ulm	515.85	172546	9	Bayern	334
313	9776	Lindau (Bodensee)	323.39	81148	9	Bayern	251
314	9777	Ostallgäu	1394.46	139278	9	Bayern	100
315	9778	Unterallgäu	1229.58	142544	9	Bayern	116
316	9779	Donau-Ries	1274.56	133043	9	Bayern	104
317	9780	Oberallgäu	1527.98	154568	9	Bayern	101
318	10041	Regionalverband Saarbrücken	410.95	330150	10	Saarland	803
319	10042	Merzig-Wadern	556.66	103656	10	Saarland	186
320	10043	Neunkirchen	249.8	133297	10	Saarland	534
321	10044	Saarlouis	459.35	195815	10	Saarland	426
322	10045	Saarpfalz-Kreis	418.28	143402	10	Saarland	343
323	10046	St. Wendel	476.07	87867	10	Saarland	185
324	11000	Berlin, Stadt	891.12	3613495	11	Berlin	4055
325	12051	Brandenburg an der Havel, Stadt	229.72	71886	12	Brandenburg	313
326	12052	Cottbus, Stadt	165.62	101036	12	Brandenburg	610
327	12053	Frankfurt (Oder), Stadt	147.85	58237	12	Brandenburg	394
328	12054	Potsdam, Stadt	188.26	175710	12	Brandenburg	933
329	12060	Barnim	1479.67	180864	12	Brandenburg	122
330	12061	Dahme-Spreewald	2274.48	167319	12	Brandenburg	74
331	12062	Elbe-Elster	1899.57	103455	12	Brandenburg	54
332	12063	Havelland	1727.29	160710	12	Brandenburg	93
333	12064	Märkisch-Oderland	2158.67	192921	12	Brandenburg	89
334	12065	Oberhavel	1808.16	209893	12	Brandenburg	116
335	12066	Oberspreewald-Lausitz	1223.07	111122	12	Brandenburg	91
336	12067	Oder-Spree	2256.76	178347	12	Brandenburg	79
337	12068	Ostprignitz-Ruppin	2526.57	99368	12	Brandenburg	39
338	12069	Potsdam-Mittelmark	2592.06	213214	12	Brandenburg	82
339	12070	Prignitz	2138.56	77263	12	Brandenburg	36
340	12071	Spree-Neiße	1656.97	115456	12	Brandenburg	70
341	12072	Teltow-Fläming	2104.24	166890	12	Brandenburg	79
342	12073	Uckermark	3076.9	120349	12	Brandenburg	39
343	13003	Rostock, Stadt	181.36	208409	13	Mecklenburg-Vorpommern	1149
344	13004	Schwerin, Stadt	130.52	95797	13	Mecklenburg-Vorpommern	734
345	13071	Mecklenburgische Seenplatte	5495.65	260574	13	Mecklenburg-Vorpommern	47
346	13072	Landkreis Rostock	3431.28	214635	13	Mecklenburg-Vorpommern	63
347	13073	Vorpommern-Rügen	3214.43	225123	13	Mecklenburg-Vorpommern	70
348	13074	Nordwestmecklenburg	2127.08	156993	13	Mecklenburg-Vorpommern	74
349	13075	Vorpommern-Greifswald	3945.63	237066	13	Mecklenburg-Vorpommern	60
350	13076	Ludwigslust-Parchim	4766.76	212522	13	Mecklenburg-Vorpommern	45
351	14511	Chemnitz, Stadt	221.05	246855	14	Sachsen	1117
352	14521	Erzgebirgskreis	1827.89	340373	14	Sachsen	186
353	14522	Mittelsachsen	2116.88	308153	14	Sachsen	146
354	14523	Vogtlandkreis	1412.45	229584	14	Sachsen	163
355	14524	Zwickau	949.77	319988	14	Sachsen	337
356	14612	Dresden, Stadt	328.48	551072	14	Sachsen	1678
357	14625	Bautzen	2395.58	302634	14	Sachsen	126
358	14626	Görlitz	2111.41	256587	14	Sachsen	122
359	14627	Meißen	1454.58	242862	14	Sachsen	167
360	14628	Sächsische Schweiz-Osterzgebirge	1654.19	245418	14	Sachsen	148
361	14713	Leipzig, Stadt	297.8	581980	14	Sachsen	1954
362	14729	Leipzig	1651.32	258008	14	Sachsen	156
363	14730	Nordsachsen	2028.54	197794	14	Sachsen	98
364	15001	Dessau-Roßlau, Stadt	244.75	82111	15	Sachsen-Anhalt	335
365	15002	Halle (Saale), Stadt	135.02	239173	15	Sachsen-Anhalt	1771
366	15003	Magdeburg, Stadt	201.01	238478	15	Sachsen-Anhalt	1186
367	15081	Altmarkkreis Salzwedel	2293.03	84457	15	Sachsen-Anhalt	37
368	15082	Anhalt-Bitterfeld	1453.52	161264	15	Sachsen-Anhalt	111
369	15083	Börde	2366.59	172619	15	Sachsen-Anhalt	73
370	15084	Burgenlandkreis	1413.7	181968	15	Sachsen-Anhalt	129
371	15085	Harz	2104.54	216299	15	Sachsen-Anhalt	103
372	15086	Jerichower Land	1576.85	90465	15	Sachsen-Anhalt	57
373	15087	Mansfeld-Südharz	1448.86	138013	15	Sachsen-Anhalt	95
374	15088	Saalekreis	1433.71	185494	15	Sachsen-Anhalt	129
375	15089	Salzlandkreis	1426.85	192739	15	Sachsen-Anhalt	135
376	15090	Stendal	2423.25	113186	15	Sachsen-Anhalt	47
377	15091	Wittenberg	1930.47	126815	15	Sachsen-Anhalt	66
378	16051	Erfurt, Stadt	269.91	212988	16	Thüringen	789
379	16052	Gera, Stadt	152.19	94859	16	Thüringen	623
380	16053	Jena, Stadt	114.76	111099	16	Thüringen	968
