kreis_id	kreis	size	population	bundesland_id	bundesland
9261000	Landshut, Stadt	65.83	71193	9	Bayern
9262000	Passau, Stadt	69.56	51781	9	Bayern
9263000	Straubing, Stadt	67.59	47586	9	Bayern
9271000	Deggendorf	861.15	118741	9	Bayern
9272000	Freyung-Grafenau	983.88	78345	9	Bayern
9273000	Kelheim	1065.13	121119	9	Bayern
9274000	Landshut	1347.56	157239	9	Bayern
9275000	Passau	1530.08	190504	9	Bayern
9276000	Regen	974.79	77489	9	Bayern
9277000	Rottal-Inn	1281.22	120371	9	Bayern
9278000	Straubing-Bogen	1201.64	99838	9	Bayern
9279000	Dingolfing-Landau	877.57	95831	9	Bayern
9361000	Amberg, Stadt	50.13	42248	9	Bayern
9362000	Regensburg, Stadt	80.85	150894	9	Bayern
9363000	Weiden i.d.OPf., Stadt	70.57	42543	9	Bayern
9371000	Amberg-Sulzbach	1255.84	102836	9	Bayern
9372000	Cham	1520.11	127339	9	Bayern
9373000	Neumarkt i.d.OPf.	1343.95	132644	9	Bayern
9374000	Neustadt a.d.Waldnaab	1427.69	94486	9	Bayern
9375000	Regensburg	1391.71	192200	9	Bayern
9376000	Schwandorf	1465.09	146487	9	Bayern
9377000	Tirschenreuth	1084.26	72730	9	Bayern
9461000	Bamberg, Stadt	54.62	77179	9	Bayern
9462000	Bayreuth, Stadt	66.89	73999	9	Bayern
9463000	Coburg, Stadt	48.29	41236	9	Bayern
9464000	Hof, Stadt	58.02	45950	9	Bayern
9471000	Bamberg	1167.78	146584	9	Bayern
9472000	Bayreuth	1273.62	103805	9	Bayern
9473000	Coburg	590.41	86885	9	Bayern
9474000	Forchheim	642.82	115681	9	Bayern
9475000	Hof	892.51	95773	9	Bayern
9476000	Kronach	651.5	67474	9	Bayern
9477000	Kulmbach	658.33	72012	9	Bayern
9478000	Lichtenfels	519.93	66777	9	Bayern
9479000	Wunsiedel i.Fichtelgebirge	606.37	73485	9	Bayern
9561000	Ansbach, Stadt	99.91	41652	9	Bayern
9562000	Erlangen, Stadt	76.96	110998	9	Bayern
9563000	Fürth, Stadt	63.35	126526	9	Bayern
9564000	Nürnberg, Stadt	186.45	515201	9	Bayern
9565000	Schwabach, Stadt	40.8	40781	9	Bayern
9571000	Ansbach	1971.31	183256	9	Bayern
9572000	Erlangen-Höchstadt	564.54	135334	9	Bayern
9573000	Fürth	307.42	116193	9	Bayern
9574000	Nürnberger Land	799.54	169752	9	Bayern
9575000	Neustadt a.d.Aisch-Bad Windsheim	1267.45	99641	9	Bayern
9576000	Roth	895.14	126101	9	Bayern
9577000	Weißenburg-Gunzenhausen	970.78	94208	9	Bayern
9661000	Aschaffenburg, Stadt	62.45	69928	9	Bayern
9662000	Schweinfurt, Stadt	35.7	53437	9	Bayern
9663000	Würzburg, Stadt	87.6	126635	9	Bayern
9671000	Aschaffenburg	698.91	173969	9	Bayern
9672000	Bad Kissingen	1136.83	103265	9	Bayern
9673000	Rhön-Grabfeld	1021.74	79796	9	Bayern
9674000	Haßberge	956.19	84464	9	Bayern
9675000	Kitzingen	684.16	90429	9	Bayern
9676000	Miltenberg	715.53	128484	9	Bayern
9677000	Main-Spessart	1321.18	126523	9	Bayern
9678000	Schweinfurt	841.4	115105	9	Bayern
9679000	Würzburg	968.33	161340	9	Bayern
9761000	Augsburg, Stadt	146.87	292851	9	Bayern
9762000	Kaufbeuren, Stadt	40.02	43478	9	Bayern
9763000	Kempten (Allgäu), Stadt	63.28	68330	9	Bayern
9764000	Memmingen, Stadt	70.11	43470	9	Bayern
9771000	Aichach-Friedberg	780.25	132596	9	Bayern
9772000	Augsburg	1070.61	249838	9	Bayern
9773000	Dillingen a.d.Donau	792.24	95159	9	Bayern
9774000	Günzburg	762.41	124519	9	Bayern
9775000	Neu-Ulm	515.85	172546	9	Bayern
9776000	Lindau (Bodensee)	323.39	81148	9	Bayern
9777000	Ostallgäu	1394.46	139278	9	Bayern
9778000	Unterallgäu	1229.58	142544	9	Bayern
9779000	Donau-Ries	1274.56	133043	9	Bayern
9780000	Oberallgäu	1527.98	154568	9	Bayern
10041000	Regionalverband Saarbrücken	410.95	330150	10	Saarland
10042000	Merzig-Wadern	556.66	103656	10	Saarland
10043000	Neunkirchen	249.8	133297	10	Saarland
10044000	Saarlouis	459.35	195815	10	Saarland
10045000	Saarpfalz-Kreis	418.28	143402	10	Saarland
10046000	St. Wendel	476.07	87867	10	Saarland
11000000	Berlin, Stadt	891.12	3613495	11	Berlin
12051000	Brandenburg an der Havel, Stadt	229.72	71886	12	Brandenburg
12052000	Cottbus, Stadt	165.62	101036	12	Brandenburg
12053000	Frankfurt (Oder), Stadt	147.85	58237	12	Brandenburg
12054000	Potsdam, Stadt	188.26	175710	12	Brandenburg
12060000	Barnim	1479.67	180864	12	Brandenburg
12061000	Dahme-Spreewald	2274.48	167319	12	Brandenburg
12062000	Elbe-Elster	1899.57	103455	12	Brandenburg
12063000	Havelland	1727.29	160710	12	Brandenburg
12064000	Märkisch-Oderland	2158.67	192921	12	Brandenburg
12065000	Oberhavel	1808.16	209893	12	Brandenburg
12066000	Oberspreewald-Lausitz	1223.07	111122	12	Brandenburg
12067000	Oder-Spree	2256.76	178347	12	Brandenburg
12068000	Ostprignitz-Ruppin	2526.57	99368	12	Brandenburg
12069000	Potsdam-Mittelmark	2592.06	213214	12	Brandenburg
12070000	Prignitz	2138.56	77263	12	Brandenburg
12071000	Spree-Neiße	1656.97	115456	12	Brandenburg
12072000	Teltow-Fläming	2104.24	166890	12	Brandenburg
12073000	Uckermark	3076.9	120349	12	Brandenburg
13003000	Rostock, Stadt	181.36	208409	13	Mecklenburg-Vorpommern
13004000	Schwerin, Stadt	130.52	95797	13	Mecklenburg-Vorpommern
13071000	Mecklenburgische Seenplatte	5495.65	260574	13	Mecklenburg-Vorpommern
13072000	Landkreis Rostock	3431.28	214635	13	Mecklenburg-Vorpommern
13073000	Vorpommern-Rügen	3214.43	225123	13	Mecklenburg-Vorpommern
13074000	Nordwestmecklenburg	2127.08	156993	13	Mecklenburg-Vorpommern
13075000	Vorpommern-Greifswald	3945.63	237066	13	Mecklenburg-Vorpommern
13076000	Ludwigslust-Parchim	4766.76	212522	13	Mecklenburg-Vorpommern
14511000	Chemnitz, Stadt	221.05	246855	14	Sachsen
14521000	Erzgebirgskreis	1827.89	340373	14	Sachsen
14522000	Mittelsachsen	2116.88	308153	14	Sachsen
14523000	Vogtlandkreis	1412.45	229584	14	Sachsen
14524000	Zwickau	949.77	319988	14	Sachsen
14612000	Dresden, Stadt	328.48	551072	14	Sachsen
14625000	Bautzen	2395.58	302634	14	Sachsen
14626000	Görlitz	2111.41	256587	14	Sachsen
14627000	Meißen	1454.58	242862	14	Sachsen
14628000	Sächsische Schweiz-Osterzgebirge	1654.19	245418	14	Sachsen
14713000	Leipzig, Stadt	297.8	581980	14	Sachsen
14729000	Leipzig	1651.32	258008	14	Sachsen
14730000	Nordsachsen	2028.54	197794	14	Sachsen
15001000	Dessau-Roßlau, Stadt	244.75	82111	15	Sachsen-Anhalt
15002000	Halle (Saale), Stadt	135.02	239173	15	Sachsen-Anhalt
15003000	Magdeburg, Stadt	201.01	238478	15	Sachsen-Anhalt
15081000	Altmarkkreis Salzwedel	2293.03	84457	15	Sachsen-Anhalt
15082000	Anhalt-Bitterfeld	1453.52	161264	15	Sachsen-Anhalt
15083000	Börde	2366.59	172619	15	Sachsen-Anhalt
15084000	Burgenlandkreis	1413.7	181968	15	Sachsen-Anhalt
15085000	Harz	2104.54	216299	15	Sachsen-Anhalt
15086000	Jerichower Land	1576.85	90465	15	Sachsen-Anhalt
15087000	Mansfeld-Südharz	1448.86	138013	15	Sachsen-Anhalt
15088000	Saalekreis	1433.71	185494	15	Sachsen-Anhalt
15089000	Salzlandkreis	1426.85	192739	15	Sachsen-Anhalt
15090000	Stendal	2423.25	113186	15	Sachsen-Anhalt
15091000	Wittenberg	1930.47	126815	15	Sachsen-Anhalt
16051000	Erfurt, Stadt	269.91	212988	16	Thüringen
16052000	Gera, Stadt	152.19	94859	16	Thüringen
16053000	Jena, Stadt	114.76	111099	16	Thüringen
16054000	Suhl, Stadt	103.03	35166	16	Thüringen
16055000	Weimar, Stadt	84.48	64426	16	Thüringen
16056000	Eisenach, Stadt	104.17	42710	16	Thüringen
16061000	Eichsfeld	943.07	100645	16	Thüringen
16062000	Nordhausen	713.92	84697	16	Thüringen
16063000	Wartburgkreis	1307.46	123764	16	Thüringen
16064000	Unstrut-Hainich-Kreis	979.68	103504	16	Thüringen
16065000	Kyffhäuserkreis	1037.87	75818	16	Thüringen
16066000	Schmalkalden-Meiningen	1210.74	122952	16	Thüringen
16067000	Gotha	936.08	135521	16	Thüringen
16068000	Sömmerda	806.86	70027	16	Thüringen
16069000	Hildburghausen	938.43	63923	16	Thüringen
16070000	Ilm-Kreis	843.73	108830	16	Thüringen
16071000	Weimarer Land	804.49	82131	16	Thüringen
16072000	Sonneberg	433.61	56361	16	Thüringen
16073000	Saalfeld-Rudolstadt	1036.02	107368	16	Thüringen
16074000	Saale-Holzland-Kreis	815.26	82990	16	Thüringen
16075000	Saale-Orla-Kreis	1151.33	81501	16	Thüringen
16076000	Greiz	845.95	99275	16	Thüringen
16077000	Altenburger Land	569.44	90650	16	Thüringen
